300 300
0 0 grain7
0 1 grain7
0 2 grain7
0 3 grain7
0 4 grain7
0 5 grain7
0 6 grain7
0 7 grain7
0 8 grain7
0 9 grain7
0 10 grain7
0 11 grain7
0 12 grain7
0 13 grain7
0 14 grain7
0 15 grain7
0 16 grain7
0 17 grain7
0 18 grain7
0 19 grain7
0 20 grain7
0 21 grain7
0 22 grain7
0 23 grain7
0 24 grain7
0 25 grain7
0 26 grain7
0 27 grain7
0 28 grain7
0 29 grain7
0 30 grain7
0 31 grain7
0 32 grain7
0 33 grain7
0 34 grain7
0 35 grain7
0 36 grain7
0 37 grain7
0 38 grain7
0 39 grain7
0 40 grain7
0 41 grain7
0 42 grain7
0 43 grain7
0 44 grain7
0 45 grain7
0 46 grain7
0 47 grain7
0 48 grain7
0 49 grain7
0 50 grain7
0 51 grain7
0 52 grain7
0 53 grain7
0 54 grain7
0 55 grain7
0 56 grain7
0 57 grain7
0 58 grain7
0 59 grain7
0 60 grain7
0 61 grain7
0 62 grain7
0 63 grain7
0 64 grain7
0 65 grain7
0 66 grain7
0 67 grain7
0 68 grain7
0 69 grain7
0 70 grain7
0 71 grain7
0 72 grain7
0 73 grain7
0 74 grain7
0 75 grain7
0 76 grain7
0 77 grain7
0 78 grain7
0 79 grain7
0 80 grain7
0 81 grain7
0 82 grain7
0 83 grain7
0 84 grain7
0 85 grain7
0 86 grain7
0 87 grain7
0 88 grain7
0 89 grain7
0 90 grain7
0 91 grain7
0 92 grain7
0 93 grain7
0 94 grain7
0 95 grain7
0 96 grain7
0 97 grain7
0 98 grain7
0 99 grain7
0 100 grain7
0 101 grain7
0 102 grain7
0 103 grain7
0 104 grain7
0 105 grain7
0 106 grain7
0 107 grain7
0 108 grain7
0 109 grain7
0 110 grain7
0 111 grain7
0 112 grain7
0 113 grain7
0 114 grain7
0 115 grain7
0 116 grain7
0 117 grain7
0 118 grain7
0 119 grain7
0 120 grain7
0 121 grain7
0 122 grain7
0 123 grain7
0 124 grain7
0 125 grain7
0 126 grain7
0 127 grain7
0 128 grain7
0 129 grain7
0 130 grain7
0 131 grain7
0 132 grain7
0 133 grain7
0 134 grain7
0 135 grain7
0 136 grain7
0 137 grain7
0 138 grain7
0 139 grain7
0 140 grain7
0 141 grain7
0 142 grain7
0 143 grain7
0 144 grain7
0 145 grain7
0 146 grain7
0 147 grain7
0 148 grain7
0 149 grain7
0 150 grain7
0 151 grain7
0 152 grain7
0 153 grain9
0 154 grain9
0 155 grain9
0 156 grain9
0 157 grain9
0 158 grain9
0 159 grain9
0 160 grain9
0 161 grain9
0 162 grain9
0 163 grain9
0 164 grain9
0 165 grain9
0 166 grain9
0 167 grain9
0 168 grain9
0 169 grain9
0 170 grain9
0 171 grain9
0 172 grain9
0 173 grain9
0 174 grain9
0 175 grain9
0 176 grain9
0 177 grain9
0 178 grain9
0 179 grain9
0 180 grain9
0 181 grain9
0 182 grain9
0 183 grain9
0 184 grain9
0 185 grain9
0 186 grain9
0 187 grain9
0 188 grain3
0 189 grain3
0 190 grain3
0 191 grain3
0 192 grain3
0 193 grain3
0 194 grain3
0 195 grain3
0 196 grain3
0 197 grain3
0 198 grain3
0 199 grain3
0 200 grain3
0 201 grain3
0 202 grain3
0 203 grain3
0 204 grain3
0 205 grain3
0 206 grain3
0 207 grain3
0 208 grain3
0 209 grain3
0 210 grain3
0 211 grain3
0 212 grain3
0 213 grain3
0 214 grain3
0 215 grain3
0 216 grain3
0 217 grain3
0 218 grain3
0 219 grain3
0 220 grain3
0 221 grain3
0 222 grain3
0 223 grain3
0 224 grain3
0 225 grain3
0 226 grain3
0 227 grain3
0 228 grain3
0 229 grain3
0 230 grain3
0 231 grain3
0 232 grain3
0 233 grain3
0 234 grain3
0 235 grain3
0 236 grain3
0 237 grain3
0 238 grain3
0 239 grain3
0 240 grain3
0 241 grain3
0 242 grain3
0 243 grain3
0 244 grain3
0 245 grain3
0 246 grain3
0 247 grain3
0 248 grain3
0 249 grain3
0 250 grain3
0 251 grain3
0 252 grain3
0 253 grain3
0 254 grain3
0 255 grain3
0 256 grain3
0 257 grain3
0 258 grain3
0 259 grain3
0 260 grain3
0 261 grain3
0 262 grain3
0 263 grain3
0 264 grain3
0 265 grain3
0 266 grain3
0 267 grain3
0 268 grain3
0 269 grain3
0 270 grain3
0 271 grain3
0 272 grain3
0 273 grain3
0 274 grain3
0 275 grain3
0 276 grain3
0 277 grain3
0 278 grain3
0 279 grain3
0 280 grain3
0 281 grain3
0 282 grain3
0 283 grain3
0 284 grain3
0 285 grain3
0 286 grain3
0 287 grain3
0 288 grain3
0 289 grain3
0 290 grain3
0 291 grain3
0 292 grain3
0 293 grain3
0 294 grain3
0 295 grain3
0 296 grain3
0 297 grain3
0 298 grain3
0 299 grain3
1 0 grain7
1 1 grain7
1 2 grain7
1 3 grain7
1 4 grain7
1 5 grain7
1 6 grain7
1 7 grain7
1 8 grain7
1 9 grain7
1 10 grain7
1 11 grain7
1 12 grain7
1 13 grain7
1 14 grain7
1 15 grain7
1 16 grain7
1 17 grain7
1 18 grain7
1 19 grain7
1 20 grain7
1 21 grain7
1 22 grain7
1 23 grain7
1 24 grain7
1 25 grain7
1 26 grain7
1 27 grain7
1 28 grain7
1 29 grain7
1 30 grain7
1 31 grain7
1 32 grain7
1 33 grain7
1 34 grain7
1 35 grain7
1 36 grain7
1 37 grain7
1 38 grain7
1 39 grain7
1 40 grain7
1 41 grain7
1 42 grain7
1 43 grain7
1 44 grain7
1 45 grain7
1 46 grain7
1 47 grain7
1 48 grain7
1 49 grain7
1 50 grain7
1 51 grain7
1 52 grain7
1 53 grain7
1 54 grain7
1 55 grain7
1 56 grain7
1 57 grain7
1 58 grain7
1 59 grain7
1 60 grain7
1 61 grain7
1 62 grain7
1 63 grain7
1 64 grain7
1 65 grain7
1 66 grain7
1 67 grain7
1 68 grain7
1 69 grain7
1 70 grain7
1 71 grain7
1 72 grain7
1 73 grain7
1 74 grain7
1 75 grain7
1 76 grain7
1 77 grain7
1 78 grain7
1 79 grain7
1 80 grain7
1 81 grain7
1 82 grain7
1 83 grain7
1 84 grain7
1 85 grain7
1 86 grain7
1 87 grain7
1 88 grain7
1 89 grain7
1 90 grain7
1 91 grain7
1 92 grain7
1 93 grain7
1 94 grain7
1 95 grain7
1 96 grain7
1 97 grain7
1 98 grain7
1 99 grain7
1 100 grain7
1 101 grain7
